text,label,category
"Congratulations! You have won ₹50,000 in KBC Lottery. Click this link immediately to claim http://kbc-winner-reward.xyz/claim",1,"Prize / Lottery Scam"
"Urgent: Your HDFC Bank account will be suspended today due to pending KYC update. Click http://hdfc-bank-kyc-update.top to update PAN card details now.",1,"Banking / Financial Scam"
"Dear Customer, your electricity connection will be disconnected at 9:30 PM tonight because your previous month bill was not updated. Contact Officer at 9876543210 immediately.",1,"Impersonation"
"Earn ₹5,000 to ₹10,000 per day by liking YouTube videos from home! No experience required. Telegram @easy_income_daily now.",1,"Job Scam"
"Your India Post parcel #IN984210 could not be delivered due to incomplete delivery address. Update details & pay ₹49 redelivery fee at http://indiapost-parcel.top/update",1,"Delivery / Parcel Scam"
"Your WhatsApp account is reported for violation. Verify your identity within 1 hour or account will be permanently blocked. Click http://wa-verify-account.info",1,"Account Takeover"
"SBI Alert: Dear customer, your debit card has been locked. Share 6-digit OTP sent to your mobile to unlock card immediately.",1,"OTP / Credential Scam"
"Double your Crypto investment in 24 hours! Guaranteed 300% return on Bitcoin and USDT. Join official Telegram group http://crypto-boom-returns.xyz",1,"Investment Scam"
"Hey baby, I missed you so much! Send me $500 for emergency medical bills via gift card, I will pay you back double when we meet next week.",1,"Romance / Social Engineering"
"Security Notice: Login attempt from unknown IP address in Russia detected on your Google Account. Click http://google-security-check.work to secure your password.",1,"Phishing"
"Aapka SBI account block ho gaya hai. Abhi PAN Card update kare link par click karke: http://sbi-pan-update.xyz aksar late karne par fine lagega.",1,"Banking / Financial Scam"
"Badhai ho! Aapne ₹1,00,000 ka cashback reward jeeta hai. Immediately claim karne ke liye link open kare http://paytm-reward-claim.top",1,"Prize / Lottery Scam"
"Part time job opportunity: Daily 2 hours work from home. Earn ₹3000 daily salary. Send your WhatsApp number to start working now.",1,"Job Scam"
"Dear user, your Netflix subscription has expired today. Renew now for ₹199 and get 1 year free! http://netflix-promo-offer.xyz",1,"Phishing"
"URGENT: Income Tax Refund of ₹15,400 has been approved for your account. Enter your bank credentials at http://incometax-refund-gov.work to credit refund.",1,"Impersonation"
"Courier Status: Your package is held at Mumbai Customs. Pay ₹199 clearance charge at http://express-customs-pay.site to release shipment.",1,"Delivery / Parcel Scam"
"Exclusive offer: Get iPhone 15 Pro for just ₹1,999! Limited stock available today. Click http://apple-mega-sale.club to order before offer ends.",1,"Prize / Lottery Scam"
"Alert: Unrecognized UPI transfer of ₹25,000 initiated from your account. If not done by you, immediately block account by calling 9123456789.",1,"Banking / Financial Scam"
"Hi mom, I lost my phone and wallet. Please send ₹10,000 urgently to this UPI ID: friend@upi. Don't call me right now, I am using someone else's phone.",1,"Romance / Social Engineering"
"Instant Loan Approved: Get ₹2,00,000 loan without documentation in 5 minutes! Click http://quick-easy-loan.top to apply now.",1,"Banking / Financial Scam"
"Hi Rahul, here is the project file for tomorrow's presentation. Please review when free: https://drive.google.com/file/d/1234567/view",0,"Legitimate"
"Your OTP for ICICI Bank netbanking login is 482910. Do not share this OTP with anyone, including bank officials.",0,"Legitimate"
"Hi Team, our weekly sync meeting is rescheduled to 4:00 PM today. Zoom link: https://zoom.us/j/987654321",0,"Legitimate"
"Dear Customer, your Amazon order #402-9842109 has been shipped and will be delivered tomorrow by 8 PM. Track: https://amazon.in/orders",0,"Legitimate"
"Swiggy: Your delivery partner Ramesh is on the way with your order. Track real-time status in the Swiggy app.",0,"Legitimate"
"Dear student, your attendance report for August month has been uploaded on the university portal. Login to view details.",0,"Legitimate"
"Airtel Alert: You have used 80% of your daily data quota. Recharge now via Airtel Thanks app for uninterrupted internet.",0,"Legitimate"
"Hey Ramesh, are we still meeting for coffee at 5 PM today near Connaught Place?",0,"Legitimate"
"Your Uber ride is confirmed. Driver Vijay (MH02AB1234) will arrive in 4 mins. Share OTP 1928 with driver upon boarding.",0,"Legitimate"
"Electricity Department: Thank you for paying your bill of ₹1,450 on 05-Sep-2026. Transaction Ref: TXN9872140.",0,"Legitimate"
"KBC Official Notice: Your SIM card number has been selected in lucky draw for ₹25 Lakhs! Send bank account number to claim prize.",1,"Prize / Lottery Scam"
"Bank Alert: Your YONO SBI access is blocked due to non-KYC compliance. Download APK file to update: http://sbi-yono-update.apk",1,"Banking / Financial Scam"
"Urgent requirement: Online rating job. Earn ₹500 per 10 reviews. Daily payout via Google Pay. Contact HR on WhatsApp 9988776655.",1,"Job Scam"
"Customs Duty Pending: Foreign parcel containing valuable gold jewelry arrived in your name. Pay ₹5,000 tax to release parcel http://customs-dept-pay.top",1,"Delivery / Parcel Scam"
"Warning! Your Facebook page will be unpublished within 24 hours due to copyright infringement. Verify account at http://fb-copyright-appeal.info",1,"Account Takeover"
"Hi dear, I saw your profile on Instagram and really liked your pictures. Let us connect on Telegram @lovely_angel for deep friendship.",1,"Romance / Social Engineering"
"Guaranteed Trading Signals: Make 10x profit on Stock Market & Forex with 99% accuracy! Join VIP Signal Channel: http://stock-vip-signals.xyz",1,"Investment Scam"
